2026-03-29 17:47:26.021 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-29 17:47:37.526 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 300474.2230
2026-03-29 17:47:37.526 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 336812.3327
2026-03-29 17:47:37.526 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 20.7318
2026-03-29 17:47:37.526 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 20.6521
2026-03-29 17:47:52.737 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:47:52.747 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.1, 'verbose': 100}
2026-03-29 17:48:04.619 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 298493.3141
2026-03-29 17:48:04.619 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 339563.2463
2026-03-29 17:48:04.619 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 23.5520
2026-03-29 17:48:04.619 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 23.8036
2026-03-29 17:48:17.047 | INFO     | Models:train_test_split:41 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:48:17.056 | INFO     | Models:__log_hyperparmeters__:64 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-29 17:48:28.701 | INFO     | Models:get_metrics:208 - Class: MLPNet | RMSE train: 317673.8046
2026-03-29 17:48:28.701 | INFO     | Models:get_metrics:209 - Class: MLPNet | RMSE test: 365607.0859
2026-03-29 17:48:28.701 | INFO     | Models:get_metrics:210 - Class: MLPNet | MAPE train: 22.0723
2026-03-29 17:48:28.701 | INFO     | Models:get_metrics:211 - Class: MLPNet | MAPE train: 22.0575
2026-03-30 19:41:17.734 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:41:17.744 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:41:17.778 | INFO     | Models:get_metrics:141 - Class: MLPNet | RMSE train: 3001353.0889
2026-03-30 19:41:17.778 | INFO     | Models:get_metrics:142 - Class: MLPNet | RMSE test: 3525261.2544
2026-03-30 19:41:17.780 | INFO     | Models:get_metrics:143 - Class: MLPNet | MAPE train: 94.8668
2026-03-30 19:41:17.780 | INFO     | Models:get_metrics:144 - Class: MLPNet | MAPE train: 96.6073
2026-03-30 19:43:51.234 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:43:51.244 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:43:51.259 | INFO     | Models:get_metrics:137 - Class: MLPNet | RMSE train: 2754355.9170
2026-03-30 19:43:51.261 | INFO     | Models:get_metrics:138 - Class: MLPNet | RMSE test: 2831024.6542
2026-03-30 19:43:51.261 | INFO     | Models:get_metrics:139 - Class: MLPNet | MAPE train: 138.4892
2026-03-30 19:43:51.261 | INFO     | Models:get_metrics:140 - Class: MLPNet | MAPE train: 134.2942
2026-03-30 19:44:10.393 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-30 19:44:10.404 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 10000, 'lr': 0.01, 'verbose': 100}
2026-03-30 19:44:10.418 | INFO     | Models:get_metrics:137 - Class: MLPNet | RMSE train: 1335447.4095
2026-03-30 19:44:10.420 | INFO     | Models:get_metrics:138 - Class: MLPNet | RMSE test: 1340586.1269
2026-03-30 19:44:10.420 | INFO     | Models:get_metrics:139 - Class: MLPNet | MAPE train: 143.1958
2026-03-30 19:44:10.420 | INFO     | Models:get_metrics:140 - Class: MLPNet | MAPE train: 138.0610
